unique_id,release_year,title,origin,genre,plot
19,2000,Bedazzled,American,comedy,"The opening sequence takes the form of a computer simulation run by the Devil to analyze souls and determine individual weaknesses to exploit and corrupt. The program finally settles on Elliot Richards (Brendan Fraser), a geeky, over-zealous man working a dead-end technical support job in a San Francisco computer company. He has no friends and his co-workers are always avoiding him."
20,2000,Before Night Falls,American,biography,"In the film, Arenas is born in Oriente in 1943 and raised by his single mother and her parents, who soon move the entire family to Holguín. After moving to Havana in the sixties to continue his studies, Reinaldo begins to explore his ambitions, as well as his sexuality. After receiving an honorary mention in a writing contest, Arenas is offered the chance to publish his first work."
21,2000,Best in Show,American,mockumentary,"Best in Show is presented as a documentary of five dogs and their owners destined to show in the Mayflower Kennel Club Dog Show, held in Philadelphia. Segments of the documentary continuously cycle among owners and handlers as each prepares to leave for the show, arrives at the hotel, prepares backstage, handles their dog's performance, and appears in a post-show follow-up. The owners and their dogs include: The owners and their dogs all arrive in time for the show, which is hosted by dog expert Trevor Beckwith (Jim Piddock), and oblivious ""color"" commentator Buck Laughlin (Fred Willard)."
22,2000,Big Momma's House,American,comedy,"The story begins in an illegal underground dog-fighting arena in Korea, where an undercover FBI agent, John Patterson, has been identified and is later ordered by a Korean mob boss to be killed. However, John is eventually rescued by his undercover partner and master of disguise, Malcolm Turner. Meanwhile, a criminal named Lester Vesco, who was originally serving a life sentence in prison for murder and armed robbery, escapes from his cell by killing a doctor and stealing his car."
23,2000,The Big Tease,American,comedy,"Ferguson plays Crawford Mackenzie, a Scottish hairdresser who, while being filmed as part of a fly-on-the-wall BBC documentary, is invited to the World Hairdresser International Federation annual contest. The documentary team (with Chris Langham playing the interviewer) follows Crawford to L.A., where he discovers that his invitation is to be a member of the audience rather than a competitor. He eventually weasels his way into the contest and produces the greatest creation of his career."
24,2000,Bless the Child,American,thriller,"Maggie O'Connor's (Kim Basinger) life revolves around her job as a nurse at a busy New York hospital, until one rainy night, her sister Jenna, a hardcore drug user (Angela Bettis) abandons her newborn autistic daughter, Cody, at her home. Maggie takes Cody in, and she becomes the daughter she never had. Cody is sent to a school for children on the autism spectrum in order to make her more aware of her surroundings (part of her condition) but the nuns who run the place are struggling to keep Cody out of danger and keep her occupied."
25,2000,Boiler Room,American,drama,"In 1999, Seth Davis (Ribisi), a 19-year-old Queens College dropout, runs an unlicensed casino in his home near the campus, catering to college students. Although he earns a successful living, he is a disappointment to his father, Marty (Rifkin), a New York City federal judge. One night, his cousin Adam (Kennedy) stops by the casino to play blackjack, bringing a rich associate named Greg Weinstein (Katt) along with him."
26,2000,Book of Shadows: Blair Witch 2,American,horror,"In November 1999, tourists and fans of The Blair Witch Project descend on the small town of Burkittsville, Maryland, where the film is set. Local resident Jeff, a former psychiatric patient and obsessed fan, orchestrates a group tour of locations featured in the film. Among the group are graduate students Stephen and his pregnant girlfriend, Tristen, who are researching mythology and mass hysteria; Erica, the Wiccan daughter of an Episcopal minister; and Kim, a goth psychic."
27,2000,Bounce,American,drama,"In Chicago's O'Hare airport, advertising executive Buddy Amaral (Ben Affleck) is delayed by a snow storm for a return flight to Los Angeles, on the same airline he has just signed as a big client. He meets writer Greg Janello (Tony Goldwyn), and when his flight resumes boarding, Buddy gives his ticket to Greg so he can get home to his sons, 12-year old Scott (Alex D. Linz) and 8-year old Joey (David Dorfman)."
28,2000,Boys and Girls,American,comedy,"Jennifer Burrows and Ryan Walker meet as 12-year-olds aboard an airplane, and are immediately at odds. Later, Ryan is mascot to his high school, while Jennifer is elected Homecoming Queen of hers. During the halftime ceremony between the two schools, Ryan is chased by the rival mascots and loses his mascot head, only to find it run over by Jennifer's ceremonial car."
29,2000,Bring It On,American,comedy,"Torrance Shipman, a student at Rancho Carne High School in San Diego, anxiously dreams about her first day of senior year. Her boyfriend, Aaron has gone to college, and her white cheerleading squad, the Toros, is aiming for a sixth consecutive national title. Torrance is elected to replace the team captain, ""Big Red"" who is graduating."
30,2000,The Broken Hearts Club: A Romantic Comedy,American,comedy,The film follows the lives of a group of gay friends in West Hollywood.
31,2000,Brother,American,crime drama,"Yamamoto (Takeshi Kitano) is a brutal and experienced Yakuza enforcer whose boss was killed and whose clan was defeated in a criminal war with a rival family. Surviving clan members have few options: either to join the winners, reconciling with shame and distrust, or to die by committing seppuku. Yamamoto, however, decides to escape to Los Angeles along with his associate Kato (Susumu Terajima)."
32,2000, Cast Away,American,adventure,"In December 1995, Chuck Noland is a time-obsessed systems engineer, who travels worldwide resolving productivity problems at FedEx depots. He is in a long-term relationship with Kelly Frears, with whom he lives in Memphis, Tennessee. Although the couple wants to get married, Chuck's busy schedule interferes with their relationship."
33,2000,Cecil B. Demented,American,comedy,"Honey Whitlock is a Hollywood A-list actress whose public persona is that of a sweet and considerate woman, but who is actually a profane, unreasonable, and demanding diva. While in Baltimore to attend a premiere, Honey is kidnapped by the manic film director, Cecil B. Demented, and his band of misfit, Andy Warhol–worshiping artists who have branded themselves ""kamikaze filmmakers"", going by the group name ""SprocketHoles""."
34,2000,The Cell,American,science fiction,"Child psychologist Catherine Deane (Jennifer Lopez) is hired to conduct an experimental virtual reality treatment for coma patients: a ""Neurological Cartography and Synaptic Transfer System"" device managed by doctors Henry West and Miriam Kent that allows her to enter a comatose mind and attempt to coax them into consciousness. The technology is funded by the parents of her patient, Edward Baines (Colton James), a young boy left comatose by a latent viral infection that causes an unusual form of schizophrenia."
35,2000,Center Stage,American,musical,"After a series of country-wide auditions, twelve young dancers gain entry to the American Ballet Academy (which is loosely based on the School of American Ballet). They work hard, attending classes every day for weeks to make them the best dancers they can possibly be, and in preparations for a final dance workshop which will determine the three boys and three girls who will be asked to join the American Ballet Company (which appears to be based on either the American Ballet Theatre or the New York City Ballet)."
36,2000,Charlie's Angels,American,action,"Natalie Cook (Cameron Diaz), Dylan Sanders (Drew Barrymore) and Alex Munday (Lucy Liu) are the ""Angels"", three talented, tough, attractive women who work as private investigators together for an unseen millionaire named Charlie (voiced by John Forsythe). Charlie uses a speaker in his offices to communicate with the Angels, and his assistant Bosley (Bill Murray) works with them directly when needed. Charlie assigns the Angels to find Eric Knox (Sam Rockwell), a software genius who created a revolutionary voice-recognition system and heads his own company, Knox Enterprises."
37,2000,Cherry Falls,American,thriller,"In the woods outside of Cherry Falls, Virginia, a teenage couple, Rod Harper (Jesse Bradford) and Stacy Twelfmann (Bre Blair) are getting romantic in a car when a black-haired female appears and murders them both. Meanwhile, in town, teenager Jody Marken (Brittany Murphy), the daughter of the local sheriff, is with her boyfriend, Kenny (Gabriel Mann), who thinks it is time to go ""see other people."" Jody goes back home to find her father, Brent (Michael Biehn), upset that she is out past her curfew. Brent and his deputies begin to investigate the murders the next day."
38,2000,Chinese Coffee,American,drama,"Harry Levine (Pacino) is a struggling writer (barely) ekeing out a living as a doorman—that is, until he is fired. Desperate for money, he pays a visit to his friend Jake Manheim (Orbach), an arts photographer, to collect an old debt. After Jake says he does not have the money, the two engage in an all-night conversation about their respective art, past and present loves, and the directions their lives are heading."
39,2000,Chocolat,American,romance,"An unnamed female storyteller narrates the story of Vianne Rocher (Juliette Binoche), an expert chocolatier who drifts across Europe with her daughter Anouk (Victoire Thivisol), following the north wind. At the beginning of the Lenten season in 1959, ""fifteen years after the War,"" they travel to a quiet French village that closely adheres to tradition, as dominated by the village mayor, the Comte de Reynaud (Alfred Molina). Just as the villagers begin observing the forty days of Lent, Vianne opens a chocolate shop, much to Reynaud's displeasure."
40,2000,Chuck & Buck,American,comedy,"Buck O'Brien (Mike White) is a 27-year-old amateur playwright with the maturity level of an adolescent. When Buck's mother dies unexpectedly, he invites his close childhood friend Chuck (Chris Weitz) to the funeral. Chuck (who is now calling himself ""Charlie"") is a successful music industry exec with a fiancée, Carlyn (Beth Colt)."
41,2000,The Contender,American,drama,"Second-term Democratic U.S. President Jackson Evans must select a new Vice President following the sudden death of his previous vice president. The obvious choice seems to be Virginia Governor Jack Hathaway, who is hailed as a hero after he recently dove into a lake in a failed attempt to save a drowning girl."
42,2000,Coyote Ugly,American,comedy,"Violet Sanford leaves her hometown of South Amboy, New Jersey, her father Bill, and her best friend Gloria, in order to pursue her dreams of becoming a songwriter in nearby New York City. Violet tries multiple times to get her demo tape noticed by the recording studios but is unsuccessful. One night, she tries to get herself noticed by a music industry scout."
43,2000,The Crew,American,comedy,"Four retired mobsters Bobby (Richard Dreyfuss) - the straight man leader, Bats (Burt Reynolds) - a cantankerous man with a short fuse and a pacemaker, Mouth (Seymour Cassel) - a silent ladies man many years past his prime, and Brick (Dan Hedaya) - a nice but dimwitted man plan one last crime to save their apartment at a retirement home (the owners are forcing them out with a rent increase so that the apartments can be rented to young, affluent South Beach couples)."
44,2000,The Crossing,American,historical drama,"The film opens with the retreat of the Continental Army across New Jersey during the American Revolutionary War, after repeated losses and defeats during the campaign of 1776. After the army narrowly escapes across the river to the Pennsylvania shore, Washington meets with his officers. In the past six months, they have lost New York City and been chased through New Jersey by the British, and 90% of their troops have either been killed or taken prisoner, or have deserted."
45,2000, Digimon: The Movie,American,animation,"A four-minute short film featuring characters from the Angela Anaconda series appeared before the film in the theatrical and home media releases. In this segment, Angela and her friends line up to watch Digimon: The Movie, but Nannette and her friends cut in line since they have passes. As Angela makes a mad dash to save seats for her friends, Mrs. Brinks (with help from Nannette) sits in front of her, blocking her view."
46,2000,Dinosaur,American,animation,"A Carnotaurus ambushes an infant Parasaurolophus, triggering a stampede which forces an Iguanodon mother to abandon her nest. The one surviving egg journeys through several predicaments via the flight of a Geosternbergia, before ending up on a far away island populated by lemurs. One of the lemurs, Plio (Alfre Woodard), names the hatched baby Aladar and raises him despite her father, Yar's (Ossie Davis) objections."
47,2000,Down to You,American,comedy,"College sophomore Al Connelly meets the girl of his dreams, freshman Imogen, and true love abounds. The two engage on a whirlwind courtship—they pick a song based on the records from Al's parents, eat a cake together, and even make love. Imogen's fear of lost youth causes her to push away from Al, and they go their separate ways after Imogen cheats on Al at a party."
48,2000,Dr. T & the Women,American,romantic comedy,"Dr. Sullivan Travis (aka ""Dr. T."") (Richard Gere) is a wealthy Dallas gynecologist for some of the wealthiest women in Texas who finds his life beginning to fall apart starting when his wife, Kate (Farrah Fawcett), suffers a nervous breakdown and is committed to the state mental hospital. Dr. T's eldest daughter, Dee Dee (Kate Hudson), is planning to go through with her approaching wedding despite the secret that she is romantically involved with Marilyn (Liv Tyler), the maid of honor. Dr. T's youngest daughter, Connie (Tara Reid), is a spunky conspiracy theorist who has her own agenda, while Dr."
49,2000,Dracula 2000,American,horror,"Matthew Van Helsing, the alleged descendant of the famed 19th century Dutch physician Abraham Van Helsing, owns an antique shop built over the site of Carfax Abbey in London in 2000. One night, with Van Helsing upstairs, his secretary, Solina, allows a group of thieves, led by her boyfriend, Marcus, into the shop. The thieves infiltrate the shop's underground high-security vault and find a sealed silver coffin protected by a deadly defense system."
50,2000,Drowning Mona,American,comedy,"The film's first scene shows Mona Dearly (Bette Midler) leaving her home and trying in vain to unlock her car. Her keys fit her son's car, so she takes that and drives off. In a bend, the brakes fail completely and she drives off a cliff into the Hudson River."
51,2000,"Dude, Where's My Car?",American,comedy,"Jesse and Chester awaken with hangovers and no memory of the previous night. The television is on, showing an Animal Planet program about how animals use twigs and rocks as tools to get food. Their refrigerator is filled with containers of chocolate pudding, and the answering machine contains an angry message from their twin girlfriends Wilma and Wanda as to their whereabouts."
52,2000,Duets,American,drama,"The story revolves around unrelated pairs of people who spend time in karaoke bars across the United States in the week leading up to a big contest in Omaha. All three pairs end up at the Omaha contest, each having won the right to compete there for $5,000 by virtue of winning in a smaller town. Finally accepting his daughter, Ricky invites her to perform a duet of her mother's favourite song, Cruisin'."
53,2000,Dungeons & Dragons,American,fantasy,"The Empire of Izmir has long been a divided land, ruled by the Mages, an elite group of magic users. An evil mage named Profion (Jeremy Irons) creates a sceptre that can allow him to control Gold dragons, but his attempt to control a captive one fails, and he is forced to kill it. As he begins to make new plans, the dragon bleeds into the river, causing it to catch fire, which many inhabitants notice, including a pair of thieves, Ridley (Justin Whalin) and Snails (Marlon Wayans)."
54,2000, The Emperor's New Groove,American,animation,"Kuzco is the selfish, egotistical emperor of the Inca kingdom, who routinely punishes those that ""throw off his groove"". When he fires his conniving adviser Yzma, she, along with her dim-witted henchman, Kronk, plots to take the throne. Kuzco meets with Pacha, a kind peasant and village leader, and tells him that he plans to demolish his hilltop family home to build himself a lavish summer home called ""Kuzcotopia""."
55,2000,Erin Brockovich,American,biography,"In 1993, Erin Brockovich is an unemployed single mother of three children who has recently been injured in a traffic accident with a doctor and is suing him. Her lawyer, Ed Masry, expects to win, but Erin's explosive courtroom behavior under cross-examination loses her the case, and Ed will not return her phone calls afterwards. One day, he arrives at work to find her in the office, apparently working."
56,2000,An Everlasting Piece,American,comedy,"Colm (Barry McEvoy) takes a job as a barber in a Belfast psychiatric hospital. He meets the staff and is warned against talking about poetry with George, a fellow barber (Brían F. O'Byrne)."
57,2000, The Family Man,American,drama,"Jack Campbell is a single Wall Street executive living in New York City. He is in the midst of putting together a multibillion-dollar merger and has ordered an emergency meeting on Christmas Day. In his office, on Christmas Eve, he hears that his former girlfriend, Kate, called him after many years, which he disregards, uninterested."
58,2000,Finding Forrester,American,drama,"Sixteen-year-old Jamal Wallace plays basketball with his friends in New York. A recluse, William Forrester, lives on the top floor of the building across from the court. The kids regularly notice him watching them."
59,2000,The Flintstones in Viva Rock Vegas,American,comedy,"Young bachelors and best friends Fred Flintstone and Barney Rubble have recently qualified as crane operators at Slate & Company. Soon to be employed, now they want dates, and a little green alien The Great Gazoo, exiled to Earth by his species, offers to help, although only they can see him. Meanwhile, Wilma Slaghoople wants a normal life and activities, like bowling, despite her controlling mother Pearl, who wants her to marry smooth casino-owner Chip Rockefeller."
60,2000,Frequency,American,science fiction,"In October 1969, firefighter Frank Sullivan (Quaid) dies in a warehouse fire, leaving behind his wife Julia (Elizabeth Mitchell) and six-year-old son John. Thirty years later, in 1999, John (Caviezel), now an NYPD detective, is dumped by his girlfriend Samantha for being emotionally shut off. John's childhood friend Gordo (Noah Emmerich) finds a Heathkit single-sideband ham radio that once belonged to Frank, but fails to get it working."
61,2000, Get Carter,American,action,"Las Vegas mob enforcer Jack Carter returns home to Seattle after hearing that his brother, Ritchie, was killed in a drunk-driving accident. His partner, Con McCarty, covers for him with the mob boss, Fletcher -whose girlfriend Audrey is having an affair with Jack. At his brother's funeral, Jack meets his niece, Doreen, and Eddie, a friend and coworker of Ritchie."
62,2000,The Gift,American,thriller,"In the town of Brixton, Georgia, widow Annie Wilson is the resident fortune-teller. Jessica King, the fiancée of local school teacher, Wayne Collins, disappears. Annie receives a vision revealing that Jessica has been killed and her corpse thrown into a pond."
63,2000,The Girl,American,romance,"The film is narrated by Agathe De La Boulaye as ""The Artist"". She is obsessed with a nightclub singer (Claire Keim) whom she calls ""The Girl"". One night the girl takes the artist to the hotel where she lives and they make love."
64,2000,Girlfight,American,drama,"Diana Guzman is a Brooklyn teenager whose hot temper gets her into trouble at school as she repeatedly starts fights with other students. Her frustration stems from her unhappy home life; she lives in a public housing estate with her brother Tiny and their single father, Sandro. Sandro pays for Tiny's boxing training in hopes of his becoming a professional boxer, although Tiny would prefer to be an artist."
65,2000,Gladiator,American,action,"In AD 180, Hispano-Roman General Maximus Decimus Meridius intends to return to his home after he leads the Roman army to victory against the Germanic tribes near Vindobona on the Limes Germanicus. Emperor Marcus Aurelius tells Maximus that his own son, Commodus, is unfit to rule and that he wishes Maximus to succeed him, as regent, to help save Rome from corruption. Commodus murders his father when he is told about the plan."
66,2000,The Golden Bowl,American,drama,"Dignified but impoverished aristocrat Prince Amerigo (Jeremy Northam), a Roman prince, is engaged to American socialite Maggie Verver (Kate Beckinsale). The two were introduced by a mutual friend, Mrs. Fanny Assingham (Anjelica Huston). Maggie shares an extremely close relationship with her millionaire father Adam (Nick Nolte), a widowed tycoon living in England who intends to finance the construction of a museum to house his invaluable collection of art and antiquities in America."
67,2000,Gone in 60 Seconds,American,action,"Kip Raines (Giovanni Ribisi), an aspiring car thief in Los Angeles, is working with his gang to steal fifty expensive cars for Raymond Calitri (Christopher Eccleston), a British gangster, via Calitri's associate, Atley (Will Patton). On the last heist, their antics bring attention by the police, and they narrowly avoid capture, though are forced to abandon the warehouse and the bulk of cars they stole. Detectives Castleback (Delroy Lindo) and Drycoff (Timothy Olyphant) seize the cars and begin an investigation."
68,2000,Gossip,American,drama,"The film takes place on a college campus in the Northeastern United States. Derrick Webb (James Marsden), Cathy Jones (Lena Headey), and Travis (Norman Reedus) are students as well as roommates. They all take a Communications class with Professor Goodwin (Eric Bogosian), in which the subject of gossip is brought up."
69,2000,Gun Shy,American,action,"Charlie Mayeaux (Liam Neeson) is an undercover DEA agent suffering from anxiety and gastrointestinal problems after a bust gone wrong. During the aforementioned incident, his partner was killed and he found himself served up on a platter of watermelon with a gun shoved in his face just before back-up arrived. Charlie, once known for his ease and almost ""magical"" talent on the job, is finding it very hard to return to work."
70,2000,Hanging Up,American,comedy,"Georgia Mozell, Eve Marks and Maddy Mozell are adult sisters. Georgia (Keaton) is the editor of her own wildly successful self-titled women’s magazine. She strives for publicity at any cost."
71,2000,Held Up,American,comedy,"While on a road trip in the Southwest, Rae (Long) discovers that her man, Michael (Foxx), spent the $15,000 they set aside for a home on a vintage Studebaker. Rae promptly dumps Michael at a convenience store and hops a ride to the airport. Soon after, Michael loses the car when a young kid cons him out of the keys."
72,2000,Here on Earth,American,drama,"Kelvin ""Kelley"" Morse and Jasper Arnold become involved in a car race and accidentally damage a restaurant owned by Samantha Cavanaugh's parents. Both are sentenced to perform community service by repairing the damage. Although Kelley comes from a wealthy family and Jasper's parents are working-class, they soon find themselves fighting over the same girl, Samantha."
73,2000,High Fidelity,American,comedy,"Rob Gordon is a self-confessed music loving everyman with a poor understanding of women. He is dumped by his latest girlfriend, Laura, and attempts to understand what is the failure in his relationships by seeking out old partners. By day, he holds court at his record store, Championship Vinyl, where customers drift through."
74,2000,Highlander: Endgame,American,science fiction,"In A.D. 1555, Connor MacLeod (Christopher Lambert) returns to his former home in Glenfinnan, Scotland, to save his mother from his former friend and village priest Jacob Kell (Bruce Payne). Kell executes Connor's mother for witchcraft."
75,2000,Hollow Man,American,science fiction,"Scientist Dr. Sebastian Caine (Bacon) has developed a serum that can make a subject invisible. His team of scientists, which includes ex-girlfriend Dr. Linda McKay (Shue) and Dr. Matt Kensington (Brolin), eventually enable the serum to work on a female gorilla and restore the animal back to visibility. Sebastian once again becomes obsessed with Linda while unbeknownst to him, she has become involved with Matt."
76,2000,The House of Mirth,American,drama,"Lily Bart is a beautiful socialite accustomed to comfort and luxury. Along with her younger cousin, Grace Stepney, she lives with her wealthy aunt, Julia Peniston. Through a series of unfortunate misunderstandings, she learns of the bitter consequences for a single woman without wealth, living in an uncaring society."
77,2000,How the Grinch Stole Christmas,American,family,"The people in Whoville enjoy celebrating Christmas with much happiness and joy, except the Grinch, who despises Christmas and the Whos. He occasionally pulls dangerous and harmful practical jokes on them with vengeance. As a result, no one likes or cares for the Grinch."
78,2000,How to Kill Your Neighbor's Dog,American,comedy,"The film stars Kenneth Branagh as Peter McGowan, a chain-smoking, impotent, insomniac British playwright who lives in Los Angeles. Once very successful, he is now in the tenth year of a decade-long string of production failures."
79,2000,Icebreaker,American,action,Terrorists take over a mountain ski resort with a stolen nuclear weapon and a ski patrolman attempts to stop them.
80,2000,The In Crowd,American,thriller,"When Adrien Williams is released from a mental institution, her former doctor, Henry Thompson immediately tries to get her back on her feet by getting her a job at a country club on the East Coast, where she is introduced to the lifestyle of the snooty, rich ""beautiful people"". Brittany Foster, a young woman who lives in the area, befriends Adrien and takes her under her wing, accepting her as part of a clique of wealthy teenagers. Brittany's group of friends make comments about how much Adrien looks like Brittany's older sister who had moved away."
81,2000, Joe Gould's Secret,American,drama,"Set in Manhattan in the early 1940s, the film focuses on the relationship between Joseph Mitchell, a writer for The New Yorker, and Joe Gould, an aging, bearded, disheveled bohemian and Harvard University graduate who wanders through the streets of Greenwich Village carrying a tattered portfolio and demanding donations to ""The Joe Gould Fund"". At times Gould is calmly sweet and perceptive, at others he's a pathological liar and an obnoxious drunk, and he frequently experiences sudden outbursts of rage. Earning occasional financial support from poet E."
82,2000, Keeping the Faith,American,comedy,"The film begins with a drunken and downtrodden Catholic priest telling his story to a sympathetic bartender (Brian George). Father Brian Finn (Edward Norton) has been dedicated to his calling since he was a child and now shares the duties of a New York parish with an older priest, Fr. Havel (Miloš Forman)."
83,2000,The Kid,American,family,"Russ Duritz works as a successful but impolite image consultant in Los Angeles and has a strained relationship with his father. One of his clients is a stadium manager who is reneging on a previous promise to fund a baseball camp for disadvantaged children. When Russ makes a pie throwing video to fabricate an explanation, his coworker Amy urges him to reconsider."
84,2000, The Ladies Man,American,comedy,"Herbert H. Heebert (Jerry Lewis) is a young man who loses his girlfriend, swears off romance, and then takes a job at a genteel, women-only boarding house, run by Helen Wellenmellen (Helen Traubel). Although most of the women treat him like a servant, Fay (Pat Stanley) helps him with his fear of women."
85,2000,The Last Producer,American,drama,"Sonny Wexler (Reynolds) is an aging, washed-up, veteran producer with a pill-popping wife (Ann-Margret). In his heyday, Sonny produced an Oscar nominated movie, but now he finds he's a ""has been"" in a Hollywood that's been taken over by a younger generation, personified by studio executive Damon Black (Bratt) and foreign investors. Knowing that he is soon going to die or be forgotten, he decides to wager all his strength in one last movie, something for which he can be remembered."
